item_id,category,stock_level,reorder_point,reorder_frequency_days,lead_time_days,daily_demand,demand_std_dev,item_popularity_score,storage_location_id
ITM10000,Pharma,283,21,4,4,49.85,1.56,0.43,L82
ITM10001,Automotive,301,52,9,6,23.34,2.55,0.69,L15
ITM10002,Groceries,132,60,11,8,37.69,3.15,0.62,L4
ITM10003,Automotive,346,46,13,5,33.69,2.79,0.21,L95
ITM10004,Automotive,49,55,4,6,49.58,5.23,0.31,L36
ITM10005,Apparel,154,62,9,6,35.95,9.47,0.41,L32
ITM10006,Groceries,86,97,6,4,9.04,4.72,0.28,L29
ITM10007,Groceries,84,89,13,4,47.82,6.78,0.24,L18
ITM10008,Groceries,311,22,4,9,33.72,7.04,0.15,L95
ITM10009,Automotive,44,98,9,8,3.91,8.78,0.89,L14
ITM10010,Pharma,56,63,7,2,33.22,0.82,0.36,L87
ITM10011,Groceries,20,66,3,7,44.27,4.34,0.36,L95
ITM10012,Automotive,418,13,7,3,29.28,7.95,0.29,L70
ITM10013,Apparel,56,84,14,5,18.35,8.24,0.53,L12
ITM10014,Pharma,160,58,14,4,41.22,9.31,0.56,L76
ITM10015,Apparel,251,16,5,5,39.34,7.18,0.29,L55
ITM10016,Pharma,155,20,9,7,27.66,2.83,0.65,L5
ITM10017,Automotive,408,63,8,7,8.56,5.3,0.75,L4
ITM10018,Electronics,207,96,10,8,13.3,0.81,0.44,L12
ITM10019,Pharma,147,54,7,6,37.19,6.65,0.63,L28
ITM10020,Apparel,220,32,4,8,40.5,5.77,0.55,L30
ITM10021,Automotive,146,37,11,3,14.68,6.83,0.28,L65
ITM10022,Pharma,276,66,13,2,19.03,9.34,0.76,L78
ITM10023,Electronics,183,35,10,5,4.8,7.03,0.82,L4
ITM10024,Electronics,54,34,8,3,35.96,3.54,0.68,L72
ITM10025,Groceries,213,63,12,9,1.18,2.39,0.39,L26
ITM10026,Groceries,210,38,9,2,3.28,8.62,0.93,L92
ITM10027,Apparel,123,92,11,5,1.21,2.35,0.51,L84
ITM10028,Pharma,42,45,9,3,32.62,2.04,0.34,L90
ITM10029,Pharma,284,23,5,4,21.45,2.46,0.47,L70
ITM10030,Groceries,309,87,8,5,15.58,5.33,0.72,L54
ITM10031,Pharma,449,44,13,3,45.72,1.68,0.86,L29
ITM10032,Pharma,481,39,13,7,10.45,9.41,0.42,L58
ITM10033,Electronics,403,26,9,2,20.08,9.68,0.31,L76
ITM10034,Groceries,279,76,4,3,47.08,9.75,0.66,L36
ITM10035,Automotive,433,89,5,4,21.93,0.87,0.93,L1
ITM10036,Groceries,498,39,6,8,28.18,9.49,0.26,L98
ITM10037,Automotive,377,54,12,5,4.94,9.98,0.82,L21
ITM10038,Electronics,94,88,8,9,39.72,9.45,0.53,L90
ITM10039,Apparel,374,98,3,5,21.72,6.87,0.82,L55
ITM10040,Pharma,91,60,11,5,40.23,7.16,0.55,L44
ITM10041,Electronics,278,56,7,4,13.44,1.66,0.44,L36
ITM10042,Pharma,417,62,14,2,21.7,8.81,0.73,L20
ITM10043,Apparel,207,73,9,5,39.54,1.07,0.91,L28
ITM10044,Apparel,480,47,11,2,48.72,3.52,0.39,L98
ITM10045,Electronics,192,73,11,3,3.92,9.92,0.51,L44
ITM10046,Apparel,499,96,3,7,40.81,4.51,0.31,L14
ITM10047,Automotive,309,98,3,9,15.73,1.75,0.27,L12
ITM10048,Apparel,64,16,5,7,27.99,9.71,0.8,L49
ITM10049,Pharma,80,31,8,2,15.21,9.85,0.28,L13
ITM10050,Pharma,102,90,4,2,31.06,2.28,0.81,L46
ITM10051,Pharma,142,91,12,7,18.34,8.72,0.49,L45
ITM10052,Pharma,377,50,14,5,17.35,4.21,1.0,L78
ITM10053,Automotive,35,83,13,6,2.86,4.12,0.28,L34
ITM10054,Groceries,85,19,3,6,8.2,3.0,0.18,L6
ITM10055,Electronics,443,66,3,4,45.94,0.92,0.17,L94
ITM10056,Pharma,164,16,7,9,49.92,3.05,0.85,L59
ITM10057,Apparel,394,59,6,8,39.25,1.01,0.49,L69
ITM10058,Pharma,181,61,3,7,15.05,9.28,0.1,L16
ITM10059,Apparel,253,42,6,7,20.72,6.79,0.89,L49
ITM10060,Apparel,399,10,5,4,37.24,8.92,0.89,L11
ITM10061,Pharma,163,62,4,9,48.46,7.31,0.83,L71
ITM10062,Automotive,377,69,11,6,23.32,1.75,0.32,L38
ITM10063,Apparel,207,43,13,3,41.65,9.44,0.44,L81
ITM10064,Apparel,341,13,3,5,48.78,9.05,0.77,L80
ITM10065,Pharma,469,26,9,5,43.8,3.81,0.54,L47
ITM10066,Apparel,493,13,6,3,12.13,1.56,0.24,L74
ITM10067,Apparel,32,52,7,3,1.39,7.19,0.32,L25
ITM10068,Pharma,203,99,12,9,25.11,7.42,0.98,L91
ITM10069,Pharma,130,13,7,6,27.04,9.02,0.24,L9
ITM10070,Electronics,434,10,3,4,10.86,1.0,0.75,L6
ITM10071,Automotive,309,80,8,3,14.95,1.85,0.53,L85
ITM10072,Automotive,314,59,11,4,38.49,6.18,0.77,L30
ITM10073,Apparel,470,82,4,9,24.05,6.38,0.7,L99
ITM10074,Automotive,411,70,9,8,16.55,0.82,0.5,L38
